,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
174,APPROXIMATE,"Budapest, Táborhegy, 1037 Hungary",ChIJYTkdpxHZQUcRubuMgwBBm2U,"3. kerület Táborhegy,Hungary",47.5530939,19.0183377,1,1037,OK,"neighborhood,political"
175,APPROXIMATE,"Kecskemét, Hungary",ChIJPxz2CGHaQ0cRgBEeDCnEAAQ,"Kecskemét Bács-Kiskun megye,Hungary",46.8963711,19.6896861,1,,OK,"locality,political"
176,GEOMETRIC_CENTER,"Szeged, Attila u., Hungary",ChIJZz5hZnSIREcRYiYBH4P6uyQ,"Szeged Attila utca,Hungary",46.2550141,20.1428959,1,,OK,route
177,GEOMETRIC_CENTER,"Nyíregyháza, Ószőlő u., Hungary",ChIJ7Zkua56fOEcRRhmyB9EBimk,"Nyíregyháza Ószőlő utca,Hungary",47.97008810000001,21.7189724,1,,OK,route
178,GEOMETRIC_CENTER,"Pécs, Páfrány u., Hungary",ChIJ69Sf2vSxQkcREbjNt9d9gys,"Pécs Páfrány utca,Hungary",46.061495,18.19795,1,,OK,route
179,APPROXIMATE,"Nyíregyháza, Hungary",ChIJ31dXt-efOEcRoBEeDCnEAAQ,"Nyíregyháza Belváros,Hungary",47.9495324,21.7244053,2,,OK,"locality,political"
180,GEOMETRIC_CENTER,"Debrecen, Derék u., 4031 Hungary",ChIJcxfIdxgOR0cRJ0QBbyGDqSM,"Debrecen Derék utca,Hungary",47.5201055,21.5989253,1,4031,OK,route
181,GEOMETRIC_CENTER,"Szeged, Moszkvai krt., Hungary",ChIJz91Nb3eIREcR_otl5FlJQXY,"Szeged Moszkvai körút,Hungary",46.2496541,20.1379941,1,,OK,route
182,APPROXIMATE,"Sopron, József Attila lakótelep, 9400 Hungary",ChIJxVX9Daw8bEcRlNAdMIudFR0,"Sopron József Attila lakótelep,Hungary",47.6747999,16.585113,1,9400,OK,"political,sublocality,sublocality_level_1"
183,GEOMETRIC_CENTER,"Szolnok, Lovas István u., 5000 Hungary",ChIJ942vQABBQUcRMfFx2qXM2zo,"Szolnok Lovas István utca,Hungary",47.1959254,20.1792724,1,5000,OK,route
